epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,256.002,0.33683,0.25775,0.78916,0.99889,1,0.995,0.95503,0.31817,0.20698,0.78896,0.0004358,0.0004358,0.0004358
81,259.069,0.33861,0.24857,0.79553,0.9989,1,0.995,0.93571,0.38908,0.23188,0.79579,0.000416,0.000416,0.000416
82,262.121,0.34301,0.24872,0.77151,0.9989,1,0.995,0.92886,0.37867,0.22803,0.79195,0.0003962,0.0003962,0.0003962
83,265.149,0.35417,0.25838,0.79889,0.99888,1,0.995,0.93434,0.35954,0.22533,0.79205,0.0003764,0.0003764,0.0003764
84,268.212,0.33066,0.25105,0.77697,0.9989,1,0.995,0.92795,0.36766,0.21752,0.79231,0.0003566,0.0003566,0.0003566
85,271.453,0.32463,0.23957,0.78918,0.99892,1,0.995,0.94145,0.34571,0.2213,0.78955,0.0003368,0.0003368,0.0003368
86,274.453,0.34503,0.24781,0.80516,0.9989,1,0.995,0.93503,0.35038,0.21747,0.78965,0.000317,0.000317,0.000317
87,277.513,0.37232,0.2486,0.78612,0.99889,1,0.995,0.93457,0.3473,0.21243,0.7894,0.0002972,0.0002972,0.0002972
88,280.58,0.33472,0.24357,0.78572,0.9989,1,0.995,0.94879,0.36527,0.21871,0.79209,0.0002774,0.0002774,0.0002774
89,283.604,0.32855,0.24003,0.78626,0.99889,1,0.995,0.93224,0.37229,0.22009,0.79114,0.0002576,0.0002576,0.0002576
90,286.61,0.33942,0.23883,0.78001,0.99887,1,0.995,0.94406,0.33789,0.2062,0.78881,0.0002378,0.0002378,0.0002378
91,290.625,0.3449,0.23656,0.80072,1,1,0.995,0.94333,0.34131,0.20277,0.78937,0.000218,0.000218,0.000218
92,293.733,0.33517,0.24213,0.78084,1,1,0.995,0.94137,0.34888,0.20568,0.79031,0.0001982,0.0001982,0.0001982
93,296.767,0.3221,0.23268,0.78795,0.99886,1,0.995,0.92617,0.377,0.20927,0.79213,0.0001784,0.0001784,0.0001784
94,299.779,0.33246,0.22817,0.77997,0.99887,1,0.995,0.93271,0.36725,0.21313,0.79141,0.0001586,0.0001586,0.0001586
95,302.799,0.31992,0.23813,0.78938,0.99889,1,0.995,0.94191,0.35854,0.2088,0.79024,0.0001388,0.0001388,0.0001388
96,306.152,0.31805,0.21994,0.7765,1,1,0.995,0.93927,0.3468,0.20781,0.78994,0.000119,0.000119,0.000119
97,309.202,0.31518,0.23654,0.78514,1,1,0.995,0.93908,0.35359,0.20074,0.7905,9.92e-05,9.92e-05,9.92e-05
98,312.248,0.30822,0.21843,0.79514,1,1,0.995,0.93354,0.35357,0.19542,0.7905,7.94e-05,7.94e-05,7.94e-05
99,315.368,0.31915,0.21715,0.76837,1,1,0.995,0.92799,0.34261,0.20234,0.78849,5.96e-05,5.96e-05,5.96e-05
100,318.483,0.30134,0.21305,0.77795,1,1,0.995,0.93422,0.33635,0.2014,0.7881,3.98e-05,3.98e-05,3.98e-05
